date,chain,deposit_usd,withdraw_usd,netflow_usd
2024-04-19,Solana,156614.47087201773,859936.3057877441,-703321.8349157264
2024-04-20,Solana,175581.558540615,456349.6766919896,-280768.1181513746
2024-04-21,Solana,221177.43220098654,940197.0382129027,-719019.6060119162
2024-04-22,Solana,306156.55595468223,870511.7353051191,-564355.1793504369
2024-04-23,Solana,356899.1513637379,773133.3300853056,-416234.17872156773
2024-04-24,Solana,4822951.228224622,907203.6127363598,3915747.6154882624
2024-04-25,Solana,611544.1691510783,920501.0565729974,-308956.88742191903
2024-04-26,Solana,2030939.4779185732,473525.41624240857,1557414.0616761646
2024-04-27,Solana,891579.4593506159,1722697.755249171,-831118.2958985552
2024-04-28,Solana,551945.9974107764,913584.5864286565,-361638.58901788003
2024-04-29,Solana,846841.6249862395,1369773.9875856563,-522932.36259941687
2024-04-30,Solana,56291.578604813294,263546.9753615395,-207255.39675672623
2024-07-08,Solana,1733923.0,3646160.0,-1912237.0
2024-07-09,Solana,3952523.0,4254459.0,-301936.0
2024-07-10,Solana,1970516.0,1869175.0,101341.0
2024-07-11,Solana,3920379.0,4243274.0,-322895.0
2024-07-12,Solana,3153723.0,3407415.0,-253692.0
2024-07-13,Solana,3065559.0,2909569.0,155990.0
2024-07-14,Solana,1622622.0,1364634.0,257988.0
2024-07-15,Solana,3748241.0,5721104.0,-1972863.0
2024-07-16,Solana,2796834.0,3104214.0,-307380.0
2024-07-17,Solana,6173123.0,5422526.0,750597.0
2024-07-18,Solana,4030740.0,3700563.0,330177.0
2024-07-19,Solana,3211732.0,5296860.0,-2085128.0
2024-07-20,Solana,2766766.0,4371983.0,-1605217.0
2024-07-21,Solana,3003946.0,4053935.0,-1049989.0
2024-07-22,Solana,3429492.0,6468062.0,-3038570.0
2024-07-23,Solana,4158058.4036561237,4448336.740366513,-290278.33671038924
2024-07-24,Solana,23357955.134896435,5293014.4232360395,18064940.711660396
2024-07-25,Solana,81983920.14636828,38385761.23257368,43598158.9137946
2024-07-26,Solana,4805530.766412923,4922863.847829016,-117333.08141609281
2024-07-27,Solana,1522923.0,2954952.0,-1432029.0
2024-07-28,Solana,2465359.69703492,4574599.49310817,-2109239.79607325
2024-07-29,Solana,36617156.115070105,12950273.676036226,23666882.43903388
2024-07-30,Solana,5355678.335556924,6284266.582969512,-928588.2474125875
2024-07-31,Solana,3032999.026176072,3188688.2948126257,-155689.26863655355
2024-08-01,Solana,3303752.3400033223,34895682.3091851,-31591929.96918178
2024-08-02,Solana,19924721.183653552,4520423.32199726,15404297.861656293
2024-08-03,Solana,4596341.628236483,5285109.219808914,-688767.5915724309
2024-08-04,Solana,20683785.215614606,5311283.698259543,15372501.517355062
2024-08-05,Solana,4116574.3991118288,7653308.357531559,-3536733.95841973
2024-08-06,Solana,2089428.1688747322,9269998.139638232,-7180569.9707635
2024-08-07,Solana,33425513.784798842,7157248.88505828,26268264.89974056
2024-08-08,Solana,5818446.276108077,27289857.21640443,-21471410.940296352
2024-08-09,Solana,5807896.120922867,3642365.0664056404,2165531.0545172268
2024-08-10,Solana,1208982.8538003566,2794931.107762717,-1585948.2539623606
2024-08-11,Solana,3839743.189482432,6655378.049029266,-2815634.8595468346
2024-08-12,Solana,10311331.692769157,7197922.317140835,3113409.3756283214
