asset,date,price_usd,market_cap,volume_24h
bitcoin,2024-06-16,66676.87,,624653672.6138575
bitcoin,2024-06-17,66504.33,,1812061226.7565656
bitcoin,2024-06-18,65175.32,,2755141806.0310903
bitcoin,2024-06-19,64974.37,,1307731953.9545317
bitcoin,2024-06-20,64869.99,,1584896152.1663702
bitcoin,2024-06-21,64143.56,,1665541539.708616
bitcoin,2024-06-22,64262.01,,470027247.3402083
bitcoin,2024-06-23,63210.01,,526848525.0029452
bitcoin,2024-06-24,60293.3,,3180853460.924751
bitcoin,2024-06-25,61806.01,,1914901308.84587
bitcoin,2024-06-26,60864.99,,1381716993.3554919
bitcoin,2024-06-27,61706.47,,1126705164.782892
bitcoin,2024-06-28,60427.84,,1519872032.026636
bitcoin,2024-06-29,60986.68,,701345872.4881144
bitcoin,2024-06-30,62772.01,,1070250012.5446604
bitcoin,2024-07-01,62899.99,,1550980813.6701345
bitcoin,2024-07-02,62135.47,,1160792332.6175597
bitcoin,2024-07-03,60208.58,,1945901232.9066572
bitcoin,2024-07-04,57050.01,,3168619756.2436485
bitcoin,2024-07-05,56628.79,,4515040083.536515
bitcoin,2024-07-06,58230.13,,1235398733.4357028
bitcoin,2024-07-07,55857.81,,1094135752.452869
bitcoin,2024-07-08,56714.62,,2699942701.375511
bitcoin,2024-07-09,58050.0,,1592351321.655387
bitcoin,2024-07-10,57725.85,,1452293495.6501489
bitcoin,2024-07-11,57339.89,,1728929618.0583844
bitcoin,2024-07-12,57889.1,,1360201319.0761504
bitcoin,2024-07-13,59204.02,,900429281.1482327
bitcoin,2024-07-14,60797.91,,1273562988.611176
bitcoin,2024-07-15,64724.14,,2435540879.0289335
bitcoin,2024-07-16,65043.99,,2725231969.2884507
bitcoin,2024-07-17,64087.99,,1922412273.0882094
bitcoin,2024-07-18,63987.92,,1449872437.6497972
bitcoin,2024-07-19,66660.0,,2331517674.368659
bitcoin,2024-07-20,67139.96,,961878801.8482211
bitcoin,2024-07-21,68165.34,,1465757867.9747434
bitcoin,2024-07-22,67532.01,,1448418369.8467097
bitcoin,2024-07-23,65936.01,,2088544473.3235078
