anchor,month_end,N_anchor,sigma_offpeg,mean_offpeg,tail1,tail2,dlog_usd_per_anchor,Pol_anchor,cum_events,policy_stage,ban_dummy,any_impulse,Pol_anchor_l1,sigma_offpeg_l1,mean_offpeg_l1,tail1_l1,tail2_l1,N_anchor_l1,cum_events_l1,policy_stage_l1,ban_dummy_l1
CNY,2025-01-31,1,4.573196339762341,-3.0262666953993658,1.0,1.0,0.006602064233777627,-1.0,1.0,0.0,1,0.0,-1.0,5.346200398155739,-4.224890748220879,1.0,1.0,1.0,1.0,0.0,1.0
CNY,2025-02-28,1,4.288788725721773,-1.8432028621694794,1.0,0.8823529411764706,-0.003813922150816662,-1.0,1.0,0.0,1,0.0,-1.0,4.573196339762341,-3.0262666953993658,1.0,1.0,1.0,1.0,0.0,1.0
CNY,2025-03-31,1,6.457019829452998,-5.398871141272855,1.0,1.0,0.003572419144099559,-1.0,1.0,0.0,1,0.0,-1.0,4.288788725721773,-1.8432028621694794,1.0,0.8823529411764706,1.0,1.0,0.0,1.0
CNY,2025-04-30,1,5.251506958358207,-3.054534795971879,1.0,0.9411764705882353,-0.0017657555970982397,-1.0,1.0,0.0,1,0.0,-1.0,6.457019829452998,-5.398871141272855,1.0,1.0,1.0,1.0,0.0,1.0
CNY,2025-05-31,1,7.41628570718843,-8.451210096523731,1.0,1.0,0.009904204318260224,-1.0,1.0,0.0,1,0.0,-1.0,5.251506958358207,-3.054534795971879,1.0,0.9411764705882353,1.0,1.0,0.0,1.0
CNY,2025-06-30,1,12.973899456954825,0.12884404194893478,0.9333333333333333,0.9333333333333333,0.004124182025616596,-1.0,1.0,0.0,1,0.0,-1.0,7.41628570718843,-8.451210096523731,1.0,1.0,1.0,1.0,0.0,1.0
CNY,2025-07-31,1,2.957416328582539,-5.466762049885304,1.0,1.0,-0.004175324590133478,-1.0,1.0,0.0,1,0.0,-1.0,12.973899456954825,0.12884404194893478,0.9333333333333333,0.9333333333333333,1.0,1.0,0.0,1.0
CNY,2025-08-31,1,5.5285473880471745,-15.944840577868016,1.0,1.0,0.008624436137993685,-1.0,1.0,0.0,1,0.0,-1.0,2.957416328582539,-5.466762049885304,1.0,1.0,1.0,1.0,0.0,1.0
CNY,2025-09-30,1,14.958461893790107,-8.210494396487443,1.0,1.0,0.0018648273538257598,-1.0,1.0,0.0,1,0.0,-1.0,5.5285473880471745,-15.944840577868016,1.0,1.0,1.0,1.0,0.0,1.0
CNY,2025-10-31,1,60.78115119740334,69.83279827538053,1.0,1.0,0.00048198503426100103,-1.0,1.0,0.0,1,0.0,-1.0,14.958461893790107,-8.210494396487443,1.0,1.0,1.0,1.0,0.0,1.0
CNY,2025-11-30,1,,103.22731227745253,1.0,1.0,-0.001287116751830908,-1.0,1.0,0.0,1,0.0,-1.0,60.78115119740334,69.83279827538053,1.0,1.0,1.0,1.0,0.0,1.0
EUR,2024-11-30,14,4.859055064760379,-1.598624833288186,0.9970326409495549,0.973293768545994,-0.029847393778992204,3.0,2.0,3.0,0,1.0,,,,,,,,,
EUR,2024-12-31,14,6.691540603029,-2.554189021991184,0.9733656174334141,0.9588377723970944,-0.016515100196346902,3.0,2.0,3.0,0,0.0,3.0,4.859055064760379,-1.598624833288186,0.9970326409495549,0.973293768545994,14.0,2.0,3.0,0.0
EUR,2025-01-31,16,8.334902250006012,-3.4234465209907765,0.9821428571428571,0.9464285714285714,0.00038494851788997003,3.0,2.0,3.0,0,0.0,3.0,6.691540603029,-2.554189021991184,0.9733656174334141,0.9588377723970944,14.0,2.0,3.0,0.0
EUR,2025-02-28,16,9.68961238443289,-4.358706482965887,0.983132530120482,0.9783132530120482,0.0017304368863312533,3.0,2.0,3.0,0,0.0,3.0,8.334902250006012,-3.4234465209907765,0.9821428571428571,0.9464285714285714,16.0,2.0,3.0,0.0
EUR,2025-03-31,16,9.948928161102515,-4.5971306971002415,1.0,0.9814432989690721,0.038071119912406234,3.0,2.0,3.0,0,0.0,3.0,9.68961238443289,-4.358706482965887,0.983132530120482,0.9783132530120482,16.0,2.0,3.0,0.0
EUR,2025-04-30,16,10.343825481521565,-4.400404265866791,0.9978768577494692,0.9957537154989384,0.05030806579728546,3.0,2.0,3.0,0,0.0,3.0,9.948928161102515,-4.5971306971002415,1.0,0.9814432989690721,16.0,2.0,3.0,0.0
EUR,2025-05-31,16,12.123325068903561,-4.952678790265524,0.9639830508474576,0.9639830508474576,-0.002994014212604784,3.0,2.0,3.0,0,0.0,3.0,10.343825481521565,-4.400404265866791,0.9978768577494692,0.9957537154989384,16.0,2.0,3.0,0.0
EUR,2025-06-30,16,13.228334318820773,-6.001781860115182,1.0,0.9760348583877996,0.03304867315916382,3.0,2.0,3.0,0,0.0,3.0,12.123325068903561,-4.952678790265524,0.9639830508474576,0.9639830508474576,16.0,2.0,3.0,0.0
EUR,2025-07-31,16,11.18729071800283,-3.7131733178617345,0.9788583509513742,0.9365750528541226,-0.02365646016195591,3.0,2.0,3.0,0,0.0,3.0,13.228334318820773,-6.001781860115182,1.0,0.9760348583877996,16.0,2.0,3.0,0.0
EUR,2025-08-31,17,7.62432678378682,-2.169869072568972,1.0,1.0,0.018352315636447403,3.0,2.0,3.0,0,0.0,3.0,11.18729071800283,-3.7131733178617345,0.9788583509513742,0.9365750528541226,16.0,2.0,3.0,0.0
EUR,2025-09-30,17,13.68686515622212,-4.680556175725136,1.0,1.0,0.007094350024716728,3.0,2.0,3.0,0,0.0,3.0,7.62432678378682,-2.169869072568972,1.0,1.0,17.0,2.0,3.0,0.0
EUR,2025-10-31,17,16.397349416369973,-6.0727143174650475,0.9786407766990292,0.9669902912621359,-0.016055292289000933,3.0,2.0,3.0,0,0.0,3.0,13.68686515622212,-4.680556175725136,1.0,1.0,17.0,2.0,3.0,0.0
EUR,2025-11-30,17,18.05023709909456,-5.98557762682319,0.9529411764705882,0.9411764705882353,-0.005467577083577119,3.0,2.0,3.0,0,0.0,3.0,16.397349416369973,-6.0727143174650475,0.9786407766990292,0.9669902912621359,17.0,2.0,3.0,0.0
GBP,2024-11-30,1,0.9917217807673587,-0.44688181337368615,1.0,1.0,-0.023282844995154484,1.0,1.0,1.0,0,0.0,,,,,,,,,
GBP,2024-12-31,1,1.8244107081512475,-0.7513730889021135,1.0,1.0,-0.013059825664353819,1.0,1.0,1.0,0,0.0,1.0,0.9917217807673587,-0.44688181337368615,1.0,1.0,1.0,1.0,1.0,0.0
GBP,2025-01-31,1,0.8984121230619597,-0.5087040604324982,1.0,1.0,-0.007902093130998239,1.0,1.0,1.0,0,0.0,1.0,1.8244107081512475,-0.7513730889021135,1.0,1.0,1.0,1.0,1.0,0.0
GBP,2025-02-28,1,0.9979921134099562,-0.6439440717959853,1.0,0.9629629629629629,0.013763118041240557,1.0,1.0,1.0,0,0.0,1.0,0.8984121230619597,-0.5087040604324982,1.0,1.0,1.0,1.0,1.0,0.0
GBP,2025-03-31,1,1.6183108950523384,-1.1740375027763317,1.0,1.0,0.02689997138150313,1.0,1.0,1.0,0,0.0,1.0,0.9979921134099562,-0.6439440717959853,1.0,0.9629629629629629,1.0,1.0,1.0,0.0
GBP,2025-04-30,2,0.9854157905404729,-0.6485528353540111,1.0,1.0,0.030819077970414444,2.0,2.0,2.0,0,1.0,1.0,1.6183108950523384,-1.1740375027763317,1.0,1.0,1.0,1.0,1.0,0.0
GBP,2025-05-31,2,1.4942559145881589,-0.3080388277772467,1.0,1.0,0.00952829944796374,2.0,2.0,2.0,0,0.0,2.0,0.9854157905404729,-0.6485528353540111,1.0,1.0,2.0,2.0,2.0,0.0
GBP,2025-06-30,2,0.675443592774079,-0.4445063324501502,0.9655172413793104,0.9482758620689655,0.016192023655460186,2.0,2.0,2.0,0,0.0,2.0,1.4942559145881589,-0.3080388277772467,1.0,1.0,2.0,2.0,2.0,0.0
GBP,2025-07-31,2,1.2205034810150635,0.05398944246240387,0.9830508474576272,0.9830508474576272,-0.034584260142173806,2.0,2.0,2.0,0,0.0,2.0,0.675443592774079,-0.4445063324501502,0.9655172413793104,0.9482758620689655,2.0,2.0,2.0,0.0
GBP,2025-08-31,2,0.7996847933155451,0.09514825480984518,1.0,0.9833333333333333,0.01615793928670939,2.0,2.0,2.0,0,0.0,2.0,1.2205034810150635,0.05398944246240387,0.9830508474576272,0.9830508474576272,2.0,2.0,2.0,0.0
GBP,2025-09-30,2,20.651539971837902,13.413224067138541,1.0,1.0,-0.0004910213645396011,2.0,2.0,2.0,0,0.0,2.0,0.7996847933155451,0.09514825480984518,1.0,0.9833333333333333,2.0,2.0,2.0,0.0
